dataset_id,cell_count,unique_cell_types,tissues,diseases,tissue_general_query,collection_name,collection_doi,dataset_title,dataset_h5ad_path,dataset_total_cell_count,n_tissues,n_diseases
460dfe21-0550-4521-92fe-db0f3036d8b0,18122,7,blood,B-cell acute lymphoblastic leukemia,blood;brain;intestine;kidney;liver;lung,Integrative single-cell multi-omics of CD19-CARpos and CARneg T cells suggest drivers of immunotherapy response in B-ALL,10.1101/2024.01.23.576878,CD19-CARpos and CARneg T cells,460dfe21-0550-4521-92fe-db0f3036d8b0.h5ad,18122,1,1
84230ea4-998d-4aa8-8456-81dd54ce23af,5608,7,blood,COVID-19,blood;brain;intestine;kidney;liver;lung,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,74 years old female - Fresh PBMCs (3 days post-intubation),84230ea4-998d-4aa8-8456-81dd54ce23af.h5ad,5608,1,1
cab0bc48-744c-461b-aaf4-7bf2cb7af00d,5080,7,blood,COVID-19,blood;brain;intestine;kidney;liver;lung,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,74 years old female - Fresh PBMCs (4 days post-intubation),cab0bc48-744c-461b-aaf4-7bf2cb7af00d.h5ad,5080,1,1
79ef1959-a6b4-4cac-82ca-30feaec48df1,4846,7,blood,COVID-19,blood;brain;intestine;kidney;liver;lung,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,74 years old female - Fresh PBMCs (7 days post-intubation),79ef1959-a6b4-4cac-82ca-30feaec48df1.h5ad,4846,1,1
50eb1e23-b8d4-4f76-a184-44e5541fa05a,4755,7,blood,COVID-19,blood;brain;intestine;kidney;liver;lung,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,74 years old female - Fresh PBMCs (8 days post-intubation),50eb1e23-b8d4-4f76-a184-44e5541fa05a.h5ad,4755,1,1
8a554710-08bc-4005-87cd-da9675bdc2e7,4232,6,blood,COVID-19,blood;brain;intestine;kidney;liver;lung,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,82 years old female - Fresh PBMCs (1 day post-intubation),8a554710-08bc-4005-87cd-da9675bdc2e7.h5ad,4232,1,1
2adb1f8a-a6b1-4909-8ee8-484814e2d4bf,202667,36,blood;brain;intestine;kidney;liver;lung,normal,blood;brain;intestine;kidney;liver;lung,Construction of a human cell landscape at single-cell level,10.1038/s41586-020-2157-4,Construction of a human cell landscape at single-cell level,2adb1f8a-a6b1-4909-8ee8-484814e2d4bf.h5ad,598266,6,1
5af90777-6760-4003-9dba-8f945fec6fdf,253040,45,blood;kidney,kidney benign neoplasm;kidney oncocytoma;nonpapillary renal cell carcinoma;normal,blood;brain;intestine;kidney;liver;lung,Mapping single-cell transcriptomes in the intra-tumoral and associated territories of kidney cancer,10.1016/j.ccell.2022.11.001,Single-cell transcriptomic datasets of Renal cell carcinoma patients,5af90777-6760-4003-9dba-8f945fec6fdf.h5ad,270855,2,4
bd65a70f-b274-4133-b9dd-0d1431b6af34,163448,18,blood;kidney,clear cell renal carcinoma,blood;brain;intestine;kidney;liver;lung,Single-cell sequencing links multiregional immune landscapes and tissue-resident T cells in ccRCC to tumor topology and therapy efficacy,10.1016/j.ccell.2021.03.007,Single-cell sequencing links multiregional immune landscapes and tissue-resident T cells in ccRCC to tumor topology and therapy efficacy,bd65a70f-b274-4133-b9dd-0d1431b6af34.h5ad,167283,2,1
53d208b0-2cfd-4366-9866-c3c6114081bc,184670,34,blood;kidney;liver;lung,normal,blood;brain;intestine;kidney;liver;lung,Tabula Sapiens,10.1126/science.abl4896,Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc.h5ad,1136218,4,1
471647b3-04fe-4c76-8372-3264feb950e8,21848,12,blood;liver,normal,blood;brain;intestine;kidney;liver;lung,Blood and immune development in human fetal bone marrow and Down syndrome,10.1038/s41586-021-03929-x,"CD34+ Fetal Bone Marrow, Fetal Liver, Cord Blood (CITE-seq)",471647b3-04fe-4c76-8372-3264feb950e8.h5ad,27998,2,1
1b9d8702-5af8-4142-85ed-020eb06ec4f6,76407,34,blood;liver;lung,normal,blood;brain;intestine;kidney;liver;lung,Cross-tissue immune cell analysis reveals tissue-specific features in humans,10.1126/science.abl5197,Global,1b9d8702-5af8-4142-85ed-020eb06ec4f6.h5ad,329762,3,1
1b350d0a-4535-4879-beb6-1142f3f94947,331337,31,blood;liver;lung,normal,blood;brain;intestine;kidney;liver;lung,Multimodal profiling reveals tissue-directed signatures of human immune cells altered with age,10.1038/s41590-025-02241-4,Immune aging project - all cells,1b350d0a-4535-4879-beb6-1142f3f94947.h5ad,1281499,3,1
b617ee1b-f8c8-4de9-b82b-e803ab93550d,71333,11,blood;liver;lung,liver cancer;lung cancer;normal,blood;brain;intestine;kidney;liver;lung,Dissecting novel myeloid-derived cell states through single-cell RNA-Seq and its impact on clinical outcome across tumor types,10.1038/s41467-024-49916-4,A multi-tissue single-cell tumor microenvironment atlas,b617ee1b-f8c8-4de9-b82b-e803ab93550d.h5ad,391963,3,3
8c42cfd0-0b0a-46d5-910c-fc833d83c45e,65662,46,blood;lung,normal,blood;brain;intestine;kidney;liver;lung,A molecular cell atlas of the human lung from single cell RNA sequencing,10.1038/s41586-020-2922-4,"Krasnow Lab Human Lung Cell Atlas, 10X",8c42cfd0-0b0a-46d5-910c-fc833d83c45e.h5ad,65662,2,1
e04daea4-4412-45b5-989e-76a9be070a89,9409,39,blood;lung,normal,blood;brain;intestine;kidney;liver;lung,A molecular cell atlas of the human lung from single cell RNA sequencing,10.1038/s41586-020-2922-4,"Krasnow Lab Human Lung Cell Atlas, Smart-seq2",e04daea4-4412-45b5-989e-76a9be070a89.h5ad,9409,2,1
01209dce-3575-4bed-b1df-129f57fbc031,28684,6,blood;lung,normal,blood;brain;intestine;kidney;liver;lung,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,10.1038/s41467-019-12464-3,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,01209dce-3575-4bed-b1df-129f57fbc031.h5ad,51876,2,1
58f43044-cd3c-42b8-bc0b-3498eb236359,35317,51,brain,normal,blood;brain;intestine;kidney;liver;lung,Single cell RNA sequencing of the human embryonic meninges at 5-13 weeks post conception,,All_cells,58f43044-cd3c-42b8-bc0b-3498eb236359.h5ad,156726,1,1
