dataset_id,cell_count,unique_cell_types,tissues,diseases,tissue_general_query
34229bdc-a895-4394-8820-574e4028d8c6,31924,1,brain,normal,blood;brain;intestine;kidney;liver;lung
343ff97c-85df-494b-8400-beb937618611,0,0,,,blood;brain;intestine;kidney;liver;lung
34deb33b-a50e-4993-a38b-1c0e5079c1c2,0,0,,,blood;brain;intestine;kidney;liver;lung
34f5307e-7b4d-4a48-b68f-2ba844c6414b,0,0,,,blood;brain;intestine;kidney;liver;lung
350237e0-9f48-4cbd-9140-3b44495549f3,654947,49,lung,normal,blood;brain;intestine;kidney;liver;lung
35090826-f636-40c1-a3ef-4466beeab9f8,0,0,,,blood;brain;intestine;kidney;liver;lung
359f7af4-87d4-4117-9d6c-ca4cfa1f3f0b,0,0,,,blood;brain;intestine;kidney;liver;lung
35c8a04c-8639-4d15-8228-765d8d93fc96,0,0,,,blood;brain;intestine;kidney;liver;lung
364348b4-bc34-4fe1-a851-60d99e36cafa,0,0,,,blood;brain;intestine;kidney;liver;lung
364bd0c7-f7fd-48ed-99c1-ae26872b1042,0,0,,,blood;brain;intestine;kidney;liver;lung
367b55f4-d543-49aa-90e8-4765fcb8c687,0,0,,,blood;brain;intestine;kidney;liver;lung
36c867a7-be10-4e69-9b39-5de12b0af6da,0,0,,,blood;brain;intestine;kidney;liver;lung
374edd6c-e163-461d-a036-d0dbbca7e8db,0,0,,,blood;brain;intestine;kidney;liver;lung
37a17b78-4864-4a42-b67b-31c00962795a,0,0,,,blood;brain;intestine;kidney;liver;lung
37b21763-7f0f-41ae-9001-60bad6e2841d,0,0,,,blood;brain;intestine;kidney;liver;lung
381aa407-317a-40ef-8048-7ce0eacc4266,0,0,,,blood;brain;intestine;kidney;liver;lung
38491c97-ce53-43d6-b34a-ef93176c9481,0,0,,,blood;brain;intestine;kidney;liver;lung
387acac5-48cd-4f25-880e-523114ccb006,0,0,,,blood;brain;intestine;kidney;liver;lung
389bfbb9-8ef1-4582-8c41-410131c3d0eb,0,0,,,blood;brain;intestine;kidney;liver;lung
390b376d-8857-4b4b-991f-0d7326938172,4112,1,brain,normal,blood;brain;intestine;kidney;liver;lung
3966ba97-beb8-4d0b-9954-d3775cd2cd61,0,0,,,blood;brain;intestine;kidney;liver;lung
396a9124-fb20-4822-bf9c-e93fdf7c999a,0,0,,,blood;brain;intestine;kidney;liver;lung
39ed7d98-676d-4b8d-9d0a-0f3b60914ead,49533,4,brain,normal,blood;brain;intestine;kidney;liver;lung
39f6fec9-2539-4b99-982b-f12888ef649a,0,0,,,blood;brain;intestine;kidney;liver;lung
3a1df9df-425e-451f-9d69-1ba7985296d9,0,0,,,blood;brain;intestine;kidney;liver;lung
3a702020-cf66-4ef5-9d11-4a5e835b7efb,0,0,,,blood;brain;intestine;kidney;liver;lung
3a7f3ab4-a280-4b3b-b2c0-6dd05614a78c,0,0,,,blood;brain;intestine;kidney;liver;lung
3a805b8d-c9d8-4c9b-881f-0eefa635974d,0,0,,,blood;brain;intestine;kidney;liver;lung
3affa268-8a74-460a-ac9b-a984c0832469,0,0,,,blood;brain;intestine;kidney;liver;lung
