dataset_id,cell_count,unique_cell_types,tissues,diseases,tissue_general_query,collection_name,collection_doi,dataset_title,dataset_h5ad_path,dataset_total_cell_count
ea7b95cf-1967-4431-9ee8-ec85ff793360,0,0,,,blood;brain;intestine;kidney;liver;lung,Comprehensive cell atlas of the first-trimester developing human brain,10.1126/science.adf1226,ClassImmune,ea7b95cf-1967-4431-9ee8-ec85ff793360.h5ad,8102
ea95cdd5-cf7e-4d5d-a0bd-032776d32ae5,16319,1,brain,normal,blood;brain;intestine;kidney;liver;lung,HVS: Human variation study,10.1126/science.adf2359,Astro - neocortex: Human variation study (HVS),ea95cdd5-cf7e-4d5d-a0bd-032776d32ae5.h5ad,16319
eb499fd8-7000-419f-8854-926b9b61b11f,122445,46,lung,normal,blood;brain;intestine;kidney;liver;lung,Human CellCards Multi-Study CellRef 1.0 Atlas,10.1038/s41467-023-40173-5,Human CellCards Multi-Study CellRef 1.0 Atlas,eb499fd8-7000-419f-8854-926b9b61b11f.h5ad,347970
ebc2e1ff-c8f9-466a-acf4-9d291afaf8b3,836148,17,blood,COVID-19;influenza;normal,blood;brain;intestine;kidney;liver;lung,A blood atlas of COVID-19 defines hallmarks of disease severity and specificity,10.1016/j.cell.2022.01.012,"COMBAT project: single cell gene expression data from COVID-19, sepsis and flu patient PBMCs",ebc2e1ff-c8f9-466a-acf4-9d291afaf8b3.h5ad,836148
ec062e17-ed4b-41a5-b13a-4712b6de5543,0,0,,,blood;brain;intestine;kidney;liver;lung,Automatic cell-type harmonization and integration across Human Cell Atlas datasets,10.1016/j.cell.2023.11.026,Lymph_node,ec062e17-ed4b-41a5-b13a-4712b6de5543.h5ad,124440
ec423499-4564-4ab4-a7c2-316c72788ead,0,0,,,blood;brain;intestine;kidney;liver;lung,HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment,10.1038/s41591-024-03215-z,HTAPP-313-SMP-932 scRNA-seq,ec423499-4564-4ab4-a7c2-316c72788ead.h5ad,12494
ec6ceff8-c8bc-488d-b6bf-30df2fa92169,0,0,,,blood;brain;intestine;kidney;liver;lung,Identification of distinct tumor cell populations and key genetic mechanisms through single cell sequencing in hepatoblastoma,10.1038/s42003-021-02562-8,Modeling Hepatoblastoma: Identification of Distinct Tumor Cell Populations and Key Genetic Mechanisms through Single Cell Sequencing,ec6ceff8-c8bc-488d-b6bf-30df2fa92169.h5ad,67110
ec6ef004-5f30-4a40-b282-980cca20a561,0,0,,,blood;brain;intestine;kidney;liver;lung,Tabula Sapiens,10.1126/science.abl4896,Tabula Sapiens - Testis,ec6ef004-5f30-4a40-b282-980cca20a561.h5ad,7513
ecce9688-66ea-4600-98f7-84aed7421c01,0,0,,,blood;brain;intestine;kidney;liver;lung,Protracted Neuronal Recruitment in the Temporal Lobe of Young Children,10.1038/s41586-023-06981-x,Subpallial germinal zones and the developing human entorhinal cortex,ecce9688-66ea-4600-98f7-84aed7421c01.h5ad,124917
ecd9230d-c571-4dab-abd3-8b54c74833f0,0,0,,,blood;brain;intestine;kidney;liver;lung,Human Brain Cell Atlas v1.0,10.1126/science.add7046,Dissection: Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - Pulvinar of thalamus - Pul,ecd9230d-c571-4dab-abd3-8b54c74833f0.h5ad,46453
